accession,label,offset,ar
0001564590-19-038793,EARNINGS,4,-0.01947188567731793
0001564590-19-038793,EARNINGS,5,-0.004376432153044141
0001564590-19-038793,EARNINGS,6,0.026374696226072122
0001564590-19-038793,EARNINGS,7,0.06074395174558497
0001564590-19-038793,EARNINGS,8,0.01680626105023621
0001564590-19-038793,EARNINGS,9,-0.0027579954064394317
0001564590-19-038793,EARNINGS,10,-0.026517314732065173
0001193125-20-005813,EARNINGS,-10,-0.027608162095603357
0001193125-20-005813,EARNINGS,-9,-0.016695551690050797
0001193125-20-005813,EARNINGS,-8,-0.015165284866615761
0001193125-20-005813,EARNINGS,-7,-0.05244631541063862
0001193125-20-005813,EARNINGS,-6,-0.014664562949564502
0001193125-20-005813,EARNINGS,-5,0.053195061018799776
0001193125-20-005813,EARNINGS,-4,-0.015740647067792483
0001193125-20-005813,EARNINGS,-3,0.04355443660048307
0001193125-20-005813,EARNINGS,-2,0.015554183190805874
0001193125-20-005813,EARNINGS,-1,-0.008416515266652956
0001193125-20-005813,EARNINGS,0,-0.08692891386410659
0001193125-20-005813,EARNINGS,1,0.05149275622742059
0001193125-20-005813,EARNINGS,2,0.02445854865920842
0001193125-20-005813,EARNINGS,3,-0.030859087642514438
0001193125-20-005813,EARNINGS,4,-0.03241597074518776
0001193125-20-005813,EARNINGS,5,-0.003274682441061436
0001193125-20-005813,EARNINGS,6,-0.03190985439947321
0001193125-20-005813,EARNINGS,7,-0.037550506836035606
0001193125-20-005813,EARNINGS,8,-0.030379882621333894
0001193125-20-005813,EARNINGS,9,0.04014081609144571
0001193125-20-005813,EARNINGS,10,0.013144995440688784
0001564590-20-006884,EARNINGS,-10,0.022064033185561854
0001564590-20-006884,EARNINGS,-9,0.035029371226710716
0001564590-20-006884,EARNINGS,-8,-0.020593793041116113
0001564590-20-006884,EARNINGS,-7,-0.014150994840298883
0001564590-20-006884,EARNINGS,-6,0.0018812225173876432
0001564590-20-006884,EARNINGS,-5,-0.020651426894673548
0001564590-20-006884,EARNINGS,-4,0.01385623403631289
0001564590-20-006884,EARNINGS,-3,-0.03529202460601413
0001564590-20-006884,EARNINGS,-2,-0.01154708968442129
0001564590-20-006884,EARNINGS,-1,-0.010084585745104376
0001564590-20-006884,EARNINGS,0,0.011648924957471274
0001564590-20-006884,EARNINGS,1,0.09456395002318023
0001564590-20-006884,EARNINGS,2,-0.019042142346474368
0001564590-20-006884,EARNINGS,3,-0.0163868543942468
0001564590-20-006884,EARNINGS,4,0.01902542141739949
0001564590-20-006884,EARNINGS,5,0.02545109943415657
0001564590-20-006884,EARNINGS,6,-0.04288250328880371
0001564590-20-006884,EARNINGS,7,0.008692104730045946
0001564590-20-006884,EARNINGS,8,-0.007808703753456631
0001564590-20-006884,EARNINGS,9,-0.057871533684816796
0001564590-20-006884,EARNINGS,10,0.04677397375538081
0001564590-20-022914,EARNINGS,-10,0.021792459539625365
0001564590-20-022914,EARNINGS,-9,0.0038289479323295635
0001564590-20-022914,EARNINGS,-8,-0.023809880693891207
0001564590-20-022914,EARNINGS,-7,-0.022112004289418632
0001564590-20-022914,EARNINGS,-6,-0.0441957400550635
0001564590-20-022914,EARNINGS,-5,-0.05208648091711864
0001564590-20-022914,EARNINGS,-4,0.03130744812862194
0001564590-20-022914,EARNINGS,-3,0.006103031296069924
0001564590-20-022914,EARNINGS,-2,0.01891810810334054
0001564590-20-022914,EARNINGS,-1,0.010948036223070945
0001564590-20-022914,EARNINGS,0,0.011237104334612683
0001564590-20-022914,EARNINGS,1,-0.00023355672071074174
0001564590-20-022914,EARNINGS,2,-0.017252695793100972
0001564590-20-022914,EARNINGS,3,-0.057046211961400896
0001564590-20-022914,EARNINGS,4,0.016069244138207196
0001564590-20-022914,EARNINGS,5,0.06615003152995363
0001564590-20-022914,EARNINGS,6,-0.003727947702601639
0001564590-20-022914,EARNINGS,7,-0.014749183029734103
0001564590-20-022914,EARNINGS,8,0.01249715704893662
0001564590-20-022914,EARNINGS,9,-0.01651464240157886
0001564590-20-022914,EARNINGS,10,-0.011346805050068253
0001193125-20-195481,REGULATORY,-10,0.06632948923203812
0001193125-20-195481,REGULATORY,-9,-0.021130881121081083
0001193125-20-195481,REGULATORY,-8,-0.005103719347803987
0001193125-20-195481,REGULATORY,-7,-0.023842423102852582
0001193125-20-195481,REGULATORY,-6,-0.05317605223964441
0001193125-20-195481,REGULATORY,-5,0.011635274646311079
0001193125-20-195481,REGULATORY,-4,0.014333412748375251
0001193125-20-195481,REGULATORY,-3,-0.01127075743024211
0001193125-20-195481,REGULATORY,-2,0.000582166021066581
0001193125-20-195481,REGULATORY,-1,-0.0027868567564048215
0001193125-20-195481,REGULATORY,0,-0.1995193175541715
0001193125-20-195481,REGULATORY,1,-0.048546178122725984
0001193125-20-195481,REGULATORY,2,0.02539438120940952
0001193125-20-195481,REGULATORY,3,-0.005245244131189537
0001193125-20-195481,REGULATORY,4,0.009716930281702419
0001193125-20-195481,REGULATORY,5,-0.025318471155457024
0001193125-20-195481,REGULATORY,6,-0.02892997071816264
0001193125-20-195481,REGULATORY,7,-0.0020011499620531236
0001193125-20-195481,REGULATORY,8,-0.032472595628173506
0001193125-20-195481,REGULATORY,9,0.030882654742661338
0001193125-20-195481,REGULATORY,10,-0.0016055828925167622
0001564590-20-036866,EARNINGS,-10,0.02624795562577778
0001564590-20-036866,EARNINGS,-9,-0.004469565823308468
0001564590-20-036866,EARNINGS,-8,0.010297815387808912
0001564590-20-036866,EARNINGS,-7,-0.024544181016045174
0001564590-20-036866,EARNINGS,-6,-0.028420100108939104
0001564590-20-036866,EARNINGS,-5,-0.001266215305461078
0001564590-20-036866,EARNINGS,-4,-0.03190036011035234
0001564590-20-036866,EARNINGS,-3,0.031468362648162704
0001564590-20-036866,EARNINGS,-2,-0.0009760484831139692
0001564590-20-036866,EARNINGS,-1,-0.023720926900183698
0001564590-20-036866,EARNINGS,0,0.008533277206739411
0001564590-20-036866,EARNINGS,1,-0.024661372890490696
0001564590-20-036866,EARNINGS,2,-0.039697797097108724
0001564590-20-036866,EARNINGS,3,-0.02194349443283788
0001564590-20-036866,EARNINGS,4,-0.02467094352429769
0001564590-20-036866,EARNINGS,5,-0.0005937351835707603
0001564590-20-036866,EARNINGS,6,-0.017469335660871218
0001564590-20-036866,EARNINGS,7,-0.0033651557387439877
0001564590-20-036866,EARNINGS,8,-0.00021269295346297654
0001564590-20-036866,EARNINGS,9,-0.018721031999930093
0001564590-20-036866,EARNINGS,10,0.0031464025300770096
0001193125-20-229278,OTHER,-10,-0.022012290701339973
0001193125-20-229278,OTHER,-9,-0.02486865084894809
0001193125-20-229278,OTHER,-8,-0.0006999693960791416
0001193125-20-229278,OTHER,-7,-0.01758624142288129
0001193125-20-229278,OTHER,-6,-0.003500340799925646
0001193125-20-229278,OTHER,-5,-0.0003419739694964915
0001193125-20-229278,OTHER,-4,-0.018813585835875658
0001193125-20-229278,OTHER,-3,0.0030115857819225204
