accession,ticker,name,label,t0,alpha,beta,resid_sd,n_est,ar0,car_leak,car_leak_n,car_event,car_event_n,car_drift,car_drift_n,car_aux,car_aux_n
0001193125-25-112057,IBRX,"ImmunityBio, Inc.",REGULATORY,2025-05-05,-0.004421192019225084,1.5325609381244152,0.05973592438531863,220,-0.16001881096989656,-0.0397292130764565,9,-0.18564507803494107,2,0.2971358491387552,9,-0.1838932975848842,3
0001326110-25-000069,IBRX,"ImmunityBio, Inc.",EARNINGS,2025-05-12,-0.0028480951855937115,1.5710986043013166,0.06050626440097655,220,0.091023929403552,-0.21074758428503998,9,0.14705590654084624,2,0.03224276602393042,9,0.14233638776461646,3
0001326110-25-000112,IBRX,"ImmunityBio, Inc.",EARNINGS,2025-08-05,-0.0010212927257543427,1.5137100929813405,0.06314021446031856,220,0.008695691402752696,-0.08537058659821471,9,-0.014325790415553314,2,-0.03548443846184585,9,-0.01943496419474014,3
0001193125-25-177024,IBRX,"ImmunityBio, Inc.",OTHER,2025-08-11,-0.0010329215949580854,1.4851330087621517,0.06316747834657829,220,0.016264844072129515,-0.14758234392524422,9,0.0014870666811707296,2,-0.06791514938457356,9,0.005492778711949198,3
0001326110-25-000138,IBRX,"ImmunityBio, Inc.",EARNINGS,2025-11-05,-0.002654627016442669,1.5246872461939622,0.056050679884818454,220,0.031024788874594915,-0.071494699762963,9,0.03608461632493544,2,0.05345342504648732,9,-0.0228337144388374,3
0001326110-25-000143,IBRX,"ImmunityBio, Inc.",REGULATORY,2025-12-12,-0.0009232637973365579,1.5818810402710384,0.049524225926750695,220,0.09555712175471329,0.08018211022254838,9,0.039548324776064694,2,-0.08875980077168344,9,-0.011035547488485183,3
0001193125-25-331244,IBRX,"ImmunityBio, Inc.",OTHER,2025-12-24,-0.0007651732353541929,1.5773013757421166,0.049279786914678485,220,0.014264455850810265,0.03115155677536941,9,0.015189582690995657,2,0.08716416668524471,9,-0.06614419002124701,3
0001110803-19-000006,ILMN,"ILLUMINA, INC.",EARNINGS,2019-01-30,0.00199916336992419,1.5964957510702358,0.01562404722682095,220,-0.07175862532035304,-0.0954122985396069,9,-0.06129049436827089,2,0.0012359861999533257,9,-0.06958348129993677,3
0001110803-19-000019,ILMN,"ILLUMINA, INC.",EARNINGS,2019-04-26,0.0007429004963479399,1.7096662178575017,0.01680474383504782,220,-0.024870310839889283,-0.06079693634178861,9,-0.034662067865815265,2,0.03980507441174201,9,-0.019472042557088745,3
0001110803-19-000031,ILMN,"ILLUMINA, INC.",OTHER,2019-06-18,0.00014920170301426785,1.725018704377274,0.017045538023769145,220,-0.027497277157046925,0.03477794858125523,9,-0.019781957314370782,2,0.024851874650261476,9,8.243313780527655e-05,3
