cik,ticker,name,sic,sic_desc,city,state,zip
0002040753,XONI,"Xtreme One Entertainment, Inc.",7900,Services-Amusement & Recreation Services,GRAND RAPIDS,MI,49503
0001548958,BBBXF,Brixton Metals Corp,,,VANCOUVER,A1,V6C 1
0001709542,XESP,"Electronic Servitor Publication Network, Inc.",7374,Services-Computer Processing & Data Preparation,STILLWATER,MN,55082
0001715433,LCHD,Leader Capital Holdings Corp.,7371,Services-Computer Programming Services,TAICHUNG,F5,40463
0001377167,FGCO,"Financial Gravity Companies, Inc.",6199,Finance Services,LAKEWAY,TX,78734
0001854233,EGLXF,Enthusiast Gaming Holdings Inc. / Canada,7900,Services-Amusement & Recreation Services,TORONTO,Z4,M4P 2
0001394108,SUIC,SUIC Worldwide Holdings Ltd.,2860,Industrial Organic Chemicals,FLUSHING,NY,11354
0001448705,BASA,"BASANITE, INC.",3990,Miscellaneous Manufacturing Industries,NEW HAVEN,CT,06510
0001811530,NXMH,"Next Meats Holdings, Inc.",2000,Food and Kindred Products,TOKYO,M0,150-0
0001103090,RSCF,"REFLECT SCIENTIFIC, INC.",3821,Laboratory Apparatus & Furniture,OREM,UT,84058
0001629632,EGTYF,Eguana Technologies Inc.,,,,,
0001098482,INNI,"Innovaro, Inc.",6770,Blank Checks,CHARLOTTE,NC,28217
0001815632,TGCB,"Tego Cyber, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",LAS VEGAS,NV,89123
0001605057,VMNT,"Vemanti Group, Inc.",6199,Finance Services,IRVINE,CA,92618
0001014052,DTGI,"Digerati Technologies, Inc.",7374,Services-Computer Processing & Data Preparation,SAN ANTONIO,TX,78230
0001410708,NUVI,Emo Capital Corp.,2870,Agricultural Chemicals,LAS VEGAS,NV,89144
0001281984,WDLF,"Decentral Life, Inc.",6199,Finance Services,ENGLEWOOD,CO,80113
0001166708,BWMG,"Brownie's Marine Group, Inc",3949,"Sporting & Athletic Goods, NEC",POMPANO BEACH,FL,33069
0001584618,ACRL,"Atacama Resources International, Inc.",1000,Metal Mining,ORLANDO,FL,32804
0001384365,RDAR,"Telvantis, Inc.",7371,Services-Computer Programming Services,MIAMI BEACH,FL,33139
0000930775,ECIA,ENCISION INC,3841,Surgical & Medical Instruments & Apparatus,BOULDER,CO,80301
0001723517,UCASU,UC Asset LP,6799,"Investors, NEC",ATLANTA,GA,30341
0001108248,KNOS,KRONOS ADVANCED TECHNOLOGIES INC,3564,Industrial & Commercial Fans & Blowers & Air Purifing Equip,PARKERSBURG,WV,26101
0001883083,GPLL,"GPL Holdings, Inc.",6770,Blank Checks,SAN LEANDRO,CA,94577
0001098009,AAGH,America Great Health,2834,Pharmaceutical Preparations,ALHAMBRA,CA,91803
0001730869,EBZT,"Everything Blockchain, Inc.",7372,Services-Prepackaged Software,FLEMING ISLAND,FL,32003
0001133818,BPTH,"BIO-PATH HOLDINGS, INC.",2834,Pharmaceutical Preparations,BELLAIRE,TX,77401
0001498372,IWAL,iWallet Corp,3669,"Communications Equipment, NEC",RENO,NV,89502
0000724742,TPHS,Trinity Place Holdings Inc.,6512,Opeators of  Nonresidential Buildings,NEW YORK,NY,10173
0001597892,JRSS,JRSIS HEALTH CARE Corp,8060,Services-Hospitals,"WUGUISHAN, ZHONGSHAN CITY",F4,52845
0001205922,VCNX,"VACCINEX, INC.",2834,Pharmaceutical Preparations,ROCHESTER,NY,14620
0001556801,MYCB,"My City Builders, Inc.",6500,Real Estate,MIAMI,FL,33132
0001975222,SSHT,SSHT S&T Group Ltd.,8742,Services-Management Consulting Services,AUCKLAND,Q2,2010
0001378866,GOGR,Go Green Global Technologies Corp.,3677,"Electronic Coils, Transformers & Other Inductors",BROOKFILED,CT,06804
0001434740,RNGC,Ranger Gold Corp.,1040,Gold and Silver Ores,LONG BEACH,NY,11561
0001292490,SYIN,"Synbio International, Inc.",7374,Services-Computer Processing & Data Preparation,SHERIDAN,WY,89014
0001452011,TNBI,Tanke Biosciences Corp,2040,Grain Mill Products,PEARL RIVER NEW CITY GUANGZHOU,F4,51062
0001857910,JFTH,"Japan Food Tech Holdings, Inc.",6770,Blank Checks,TOKYO,M0,107-0
0000841533,SRMX,"SADDLE RANCH MEDIA, INC.",3640,Electric Lighting & Wiring Equipment,IRVINE,CA,92612
0001144392,BKTH,MEGOLA INC,2890,Miscellaneous Chemical Products,BONITA SPRINGS,FL,34135
0001338929,AHRO,"Authentic Holdings, Inc.",5130,"Wholesale-Apparel, Piece Goods & Notions",MORRISTOWN,NJ,07960
0001919847,SFWJ,"Software Effective Solutions, Corp.",7371,Services-Computer Programming Services,AUSTIN,TX,78730
0000803097,SPQS,"SportsQuest, Inc.",7900,Services-Amusement & Recreation Services,WEST PALM BEACH,FL,33401
0001631463,BRLL,Barrel Energy Inc.,1311,Crude Petroleum & Natural Gas,LAS VEGAS,NV,
0001162283,MGHL,MORGAN GROUP HOLDING CO,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",RYE,NY,10580
0000890725,GSAC,GELSTAT CORP,2834,Pharmaceutical Preparations,MIAMI,FL,33131
0001119949,MNZO,Exxsun Corp,1311,Crude Petroleum & Natural Gas,NEWTON,MA,02459
0001514946,AXIM,"AXIM BIOTECHNOLOGIES, INC.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0000812306,PCYN,PROCYON CORP,2834,Pharmaceutical Preparations,CLEARWATER,FL,33756
0001289223,NWPG,"Newport Gold, Inc.",1040,Gold and Silver Ores,NORTH EAST,PA,16428
0000827099,CPWR,Ocean Thermal Energy Corp,4931,Electric & Other Services Combined,PHILADELPHIA,PA,19104
0001552189,PLSH,"PANACEA LIFE SCIENCES HOLDINGS, INC.",2833,Medicinal Chemicals & Botanical Products,GREENWOOD VILLAGE,CO,80121
0001757143,PAIYY,Aesthetic Medical International Holdings Group Ltd,8093,"Services-Specialty Outpatient Facilities, NEC",SHENZHEN,,51800
0001626745,FVTI,"Fortune Valley Treasures, Inc.",5900,Retail-Miscellaneous Retail,GUANGDONG PROVINCE,F4,51800
0001973160,GMZP,GEMZ Corp. NV,1520,General Bldg Contractors - Residential Bldgs,WINTER PARK,FL,32789
0001639068,HBUV,Hubilu Venture Corp,6510,Real Estate Operators (No Developers) & Lessors,BEVERLY HILLS,CA,90212
0001437476,GSFI,Green Stream Holdings Inc.,6500,Real Estate,BEVERLY HILLS,CA,90211
0001518336,DREM,Dream Homes & Development Corp.,1531,Operative Builders,FORKED RIVER,NJ,08731
0000946112,CDSG,"China Dongsheng International, Inc.",1000,Metal Mining,PEOPLES REPUBLIC OF CHINA,F4,000-0
0001608092,KITL,Kisses From Italy Inc.,5810,Retail-Eating & Drinking Places,MIAMI,FL,33130
0001512886,NTRR,NEUTRA CORP.,2833,Medicinal Chemicals & Botanical Products,HOUSTON,TX,77042
0001477009,CANN,TREES Corp (Colorado),5912,Retail-Drug Stores and Proprietary Stores,LAKEWOOD,CO,80228
0001492448,MAJI,Nextel Medical Corp.,4899,"Communications Services, NEC",ST. PETERSBURG,FL,33702
0001318268,MDEX,Madison Technologies Inc.,5900,Retail-Miscellaneous Retail,PURCHASE,NY,10577
0001171008,ADMG,ADAMANT DRI PROCESSING & MINERALS GROUP,1000,Metal Mining,COLUMBIA,MO,65201
0001416697,BLPG,"Blue Line Protection Group, Inc.",5900,Retail-Miscellaneous Retail,DENVER,CO,80216
0001865468,KACLF,Kairous Acquisition Corp. Ltd,6770,Blank Checks,SINGAPORE,U0,01898
0001653606,EHVVF,"Ehave, Inc.",7371,Services-Computer Programming Services,OAKVILLE,A6,L6H 6
0000827187,SNBRQ,Sleep Number Corp,2510,Household Furniture,MINNEAPOLIS,MN,55404
0001464865,ASII,"Accredited Solutions, Inc.",2080,Beverages,CORNELIUS,NC,28031
0001580262,RTON,"Right On Brands, Inc.",5900,Retail-Miscellaneous Retail,ROWLETT,TX,75089
0001084551,CRDV,Community Redevelopment Inc.,6552,Land Subdividers & Developers (No Cemeteries),MILFORD,MA,01757
0001061040,NGCG,"New Generation Consumer Group, Inc.",7371,Services-Computer Programming Services,WILMINGTON,DE,19801
0001553264,APSI,AQUA POWER SYSTEMS INC.,4911,Electric Services,WINTER PARK,FL,32789
0001117228,MMMW,MASS MEGAWATTS WIND POWER INC,4991,Cogeneration Services & Small Power Producers,WORCESTER,MA,01610
0001737193,LDSN,Aphoenity International Holdings Inc.,7374,Services-Computer Processing & Data Preparation,WANCHAI,,SAR P
0001874138,SHGI,"Sparx Holdings Group, Inc.",3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,NORTH PROVIDENCE,RI,02904
0001946746,LTESF,Leet INC.,7372,Services-Prepackaged Software,PETALING JAYA,N8,46000
0001465470,SHMP,NaturalShrimp Inc,0900,"Fishing, Hunting and Trapping",BOCA RATON,FL,33432
